run_id,pair_id,mgo_bin_index,mgo_bin_center,mgo_target,mgo_upper,al_type,al_ti_upper,replicate,olivine_fo,mode_olivine,mode_opx,mode_cpx,mode_plag,trapped_liquid,source_sample,source_terrane,source_rocktype,layer,SiO2_pct,TiO2_pct,Al2O3_pct,FeOtot_pct,MgO_pct,CaO_pct,Na2O_pct
p0033_upper,33,2,11.0,10.3248,10.3248,Al_depleted,12.516,1,0.8369,0.2872,0.0791,0.35,0.2838,0.15,81333,MURCHISON,amphibolite,upper,53.7494,0.9689,12.1272,11.9527,10.3248,10.8041,0.0729
p0033_lower,33,2,11.0,10.3248,10.3248,Al_depleted,12.516,1,0.8369,0.2872,0.0791,0.35,0.2838,0.15,81333,MURCHISON,amphibolite,lower,48.6897,0.2912,10.8646,7.7059,19.7696,12.0218,0.6572
p0034_upper,34,2,11.0,11.2347,11.2347,Al_depleted,8.23,2,0.8163,0.3213,0.0904,0.35,0.2383,0.15,179732,East Pilbara Terrane,Komatiitic basalt,upper,52.7848,1.2537,10.3177,15.0247,11.2347,8.501,0.8834
p0034_lower,34,2,11.0,11.2347,11.2347,Al_depleted,8.23,2,0.8163,0.3213,0.0904,0.35,0.2383,0.15,179732,East Pilbara Terrane,Komatiitic basalt,lower,48.2936,0.3341,9.3377,9.1667,21.1181,11.0597,0.6901
p0035_upper,35,2,11.0,11.2347,11.2347,Al_depleted,8.23,3,0.8163,0.3213,0.0904,0.35,0.2383,0.15,179732,East Pilbara Terrane,Komatiitic basalt,upper,52.7848,1.2537,10.3177,15.0247,11.2347,8.501,0.8834
p0035_lower,35,2,11.0,11.2347,11.2347,Al_depleted,8.23,3,0.8163,0.3213,0.0904,0.35,0.2383,0.15,179732,East Pilbara Terrane,Komatiitic basalt,lower,48.2936,0.3341,9.3377,9.1667,21.1181,11.0597,0.6901
p0036_upper,36,2,11.0,11.2607,11.2607,Al_depleted,12.211,4,0.8371,0.3223,0.0908,0.35,0.237,0.15,83430,MURCHISON,metabasalt,upper,50.8911,0.9851,12.0281,13.0247,11.2607,11.7377,0.0726
p0036_lower,36,2,11.0,11.2607,11.2607,Al_depleted,12.211,4,0.8371,0.3223,0.0908,0.35,0.237,0.15,83430,MURCHISON,metabasalt,lower,48.0983,0.2938,9.5587,8.381,21.5742,11.5282,0.5657
p0037_upper,37,2,11.0,10.1762,10.1762,Al_depleted,8.477,5,0.8236,0.2816,0.0772,0.35,0.2912,0.15,179731,East Pilbara Terrane,Basalt,upper,53.5428,1.1307,9.5845,12.9543,10.1762,10.5176,2.0938
p0037_lower,37,2,11.0,10.1762,10.1762,Al_depleted,8.477,5,0.8236,0.2816,0.0772,0.35,0.2912,0.15,179731,East Pilbara Terrane,Basalt,lower,48.6314,0.3154,10.6877,8.0571,19.2537,12.0794,0.9753
p0038_upper,38,2,11.0,11.3933,11.3933,Al_depleted,8.025,6,0.8424,0.3272,0.0924,0.35,0.2303,0.15,99552,Kalgoorlie,basalt,upper,51.6252,1.2648,10.1494,12.6688,11.3933,10.4212,2.4773
p0038_lower,38,2,11.0,11.3933,11.3933,Al_depleted,8.025,6,0.8424,0.3272,0.0924,0.35,0.2303,0.15,99552,Kalgoorlie,basalt,lower,48.2102,0.3358,9.0937,8.2694,21.9362,11.2407,0.914
p0039_upper,39,2,11.0,10.3248,10.3248,Al_depleted,12.516,7,0.8369,0.2872,0.0791,0.35,0.2838,0.15,81333,MURCHISON,amphibolite,upper,53.7494,0.9689,12.1272,11.9527,10.3248,10.8041,0.0729
p0039_lower,39,2,11.0,10.3248,10.3248,Al_depleted,12.516,7,0.8369,0.2872,0.0791,0.35,0.2838,0.15,81333,MURCHISON,amphibolite,lower,48.6897,0.2912,10.8646,7.7059,19.7696,12.0218,0.6572
p0040_upper,40,2,11.0,11.5967,11.5967,Al_undepleted,25.333,0,0.8864,0.3349,0.095,0.35,0.2202,0.15,81785,MURCHISON,komatiite,upper,56.8797,0.5466,13.8475,8.8338,11.5967,8.0706,0.2251
p0040_lower,40,2,11.0,11.5967,11.5967,Al_undepleted,25.333,0,0.8864,0.3349,0.095,0.35,0.2202,0.15,81785,MURCHISON,komatiite,lower,49.1781,0.228,9.3686,6.6642,23.2554,10.7499,0.5558
p0041_upper,41,2,11.0,11.5655,11.5655,Al_undepleted,27.213,1,0.8824,0.3337,0.0946,0.35,0.2217,0.15,81334,MURCHISON,komatiite,upper,55.8058,0.4924,13.3988,9.1624,11.5655,9.3237,0.2514
p0041_lower,41,2,11.0,11.5655,11.5655,Al_undepleted,27.213,1,0.8824,0.3337,0.0946,0.35,0.2217,0.15,81334,MURCHISON,komatiite,lower,49.0017,0.2198,9.3442,6.8059,23.1063,10.9592,0.5628
p0042_upper,42,2,11.0,11.8653,11.8653,Al_undepleted,27.457,2,0.8802,0.3449,0.0983,0.35,0.2067,0.15,81516,MURCHISON,komatiite,upper,54.9384,0.49,13.4523,9.5934,11.8653,9.2132,0.4473
p0042_lower,42,2,11.0,11.8653,11.8653,Al_undepleted,27.457,2,0.8802,0.3449,0.0983,0.35,0.2067,0.15,81516,MURCHISON,komatiite,lower,48.8159,0.2195,8.9388,7.0546,23.6686,10.7396,0.5629
p0043_upper,43,2,11.0,10.5754,10.5754,Al_undepleted,23.685,3,0.8551,0.2966,0.0822,0.35,0.2712,0.15,81669,MURCHISON,metabasalt,upper,54.5067,0.5751,13.6213,10.6466,10.5754,9.5104,0.5644
p0043_lower,43,2,11.0,10.5754,10.5754,Al_undepleted,23.685,3,0.8551,0.2966,0.0822,0.35,0.2712,0.15,81669,MURCHISON,metabasalt,lower,48.8368,0.2321,10.7433,7.238,20.5855,11.6578,0.7066
p0044_upper,44,2,11.0,10.9682,10.9682,Al_undepleted,17.855,4,0.844,0.3113,0.0871,0.35,0.2516,0.15,207604,MURCHISON,basalt,upper,55.8755,0.5691,10.1611,12.0478,10.9682,10.3266,0.0517
p0044_lower,44,2,11.0,10.9682,10.9682,Al_undepleted,17.855,4,0.844,0.3113,0.0871,0.35,0.2516,0.15,207604,MURCHISON,basalt,lower,48.9284,0.2312,9.6819,7.9096,21.1433,11.5144,0.5912
p0045_upper,45,2,11.0,11.7391,11.7391,Al_undepleted,19.18,5,0.8716,0.3402,0.0967,0.35,0.213,0.15,111935,Kurnalpi,komatiitic basalt,upper,53.0355,0.6394,12.2631,10.2799,11.7391,10.4499,1.5932
p0045_lower,45,2,11.0,11.7391,11.7391,Al_undepleted,19.18,5,0.8716,0.3402,0.0967,0.35,0.213,0.15,111935,Kurnalpi,komatiitic basalt,lower,48.5059,0.2419,8.9343,7.3339,23.2258,11.0108,0.7474
p0046_upper,46,2,11.0,10.8946,10.8946,Al_undepleted,28.631,6,0.8751,0.3085,0.0862,0.35,0.2553,0.15,180201,East Pilbara Terrane,Basalt,upper,50.648,0.5598,16.0292,9.242,10.8946,11.7714,0.8549
p0046_lower,46,2,11.0,10.8946,10.8946,Al_undepleted,28.631,6,0.8751,0.3085,0.0862,0.35,0.2553,0.15,180201,East Pilbara Terrane,Basalt,lower,48.294,0.2298,10.6647,6.711,21.6002,11.7812,0.719
p0047_upper,47,2,11.0,10.3076,10.3076,Al_undepleted,21.441,7,0.8591,0.2865,0.0788,0.35,0.2846,0.15,204660,Kalgoorlie,Variolitic metabasalt,upper,53.997,0.6174,13.2376,10.0469,10.3076,9.8576,1.9359
p0047_lower,47,2,11.0,10.3076,10.3076,Al_undepleted,21.441,7,0.8591,0.2865,0.0788,0.35,0.2846,0.15,204660,Kalgoorlie,Variolitic metabasalt,lower,48.8205,0.2384,11.0552,6.9267,20.1292,11.8913,0.9387
p0048_upper,48,3,13.0,12.1548,12.1548,Al_depleted,12.414,0,0.8533,0.3577,0.1019,0.3461,0.1942,0.15,83429,MURCHISON,metabasalt,upper,50.7951,0.9015,11.1911,12.4194,12.1548,12.476,0.0622
p0048_lower,48,3,13.0,12.1548,12.1548,Al_depleted,12.414,0,0.8533,0.3577,0.1019,0.3461,0.1942,0.15,83429,MURCHISON,metabasalt,lower,47.9842,0.28,8.2426,8.3518,23.6723,10.9895,0.4796
p0049_upper,49,3,13.0,13.8354,13.8354,Al_depleted,11.225,1,0.8724,0.4418,0.1229,0.3041,0.1312,0.15,83432,MURCHISON,amphibolite,upper,50.602,0.921,10.3377,12.0207,13.8354,12.2107,0.0724
p0049_lower,49,3,13.0,13.8354,13.8354,Al_depleted,11.225,1,0.8724,0.4418,0.1229,0.3041,0.1312,0.15,83432,MURCHISON,amphibolite,lower,47.5108,0.2675,6.261,8.5607,27.721,9.3316,0.3473
p0050_upper,50,3,13.0,12.127,12.127,Al_depleted,9.806,2,0.8171,0.3563,0.1016,0.3468,0.1952,0.15,179733,East Pilbara Terrane,Komatiitic basalt,upper,48.7284,1.3679,13.4138,16.1341,12.127,7.6614,0.5675
p0050_lower,50,3,13.0,12.127,12.127,Al_depleted,9.806,2,0.8171,0.3563,0.1016,0.3468,0.1952,0.15,179733,East Pilbara Terrane,Komatiitic basalt,lower,47.5008,0.3503,8.6071,9.8672,22.8238,10.2931,0.5577
p0051_upper,51,3,13.0,13.8354,13.8354,Al_depleted,11.225,3,0.8724,0.4418,0.1229,0.3041,0.1312,0.15,83432,MURCHISON,amphibolite,upper,50.602,0.921,10.3377,12.0207,13.8354,12.2107,0.0724
p0051_lower,51,3,13.0,13.8354,13.8354,Al_depleted,11.225,3,0.8724,0.4418,0.1229,0.3041,0.1312,0.15,83432,MURCHISON,amphibolite,lower,47.5108,0.2675,6.261,8.5607,27.721,9.3316,0.3473
p0052_upper,52,3,13.0,12.479,12.479,Al_depleted,14.841,4,0.8706,0.3739,0.106,0.338,0.182,0.15,209690,MURCHISON,amphibolite,upper,52.9262,0.7187,10.6665,11.0224,12.479,11.1352,1.0521
p0052_lower,52,3,13.0,12.479,12.479,Al_depleted,14.841,4,0.8706,0.3739,0.106,0.338,0.182,0.15,209690,MURCHISON,amphibolite,lower,48.2885,0.2495,7.8063,7.8207,24.7566,10.4759,0.6025
p0053_upper,53,3,13.0,12.2819,12.2819,Al_depleted,4.632,5,0.8547,0.3641,0.1035,0.343,0.1894,0.15,182780,SOUTHERN CROSS,metabasalt,upper,53.8152,1.6629,7.7017,12.4091,12.2819,11.9917,0.1376
p0053_lower,53,3,13.0,12.2819,12.2819,Al_depleted,4.632,5,0.8547,0.3641,0.1035,0.343,0.1894,0.15,182780,SOUTHERN CROSS,metabasalt,lower,48.4023,0.3931,7.5783,8.3809,23.9702,10.7943,0.4808
